 type bid, timestamp 1576858205.0154898, ticker AAPL, size 100, price 280.32,
 type ask, timestamp 1576858205.0653963, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858205.0653963, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858205.5379128, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858205.5379128, ticker MSFT, size 100, price 157.02,
 type last, timestamp 1576858205.8024976, ticker MSFT, size 55, price 157.03,
 type ask, timestamp 1576858205.8024976, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858205.8024976, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858205.8752735, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858205.8752735, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858205.8885794, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858205.8885794, ticker MSFT, size 100, price 157.02,
 type last, timestamp 1576858206.454189, ticker AAPL, size 194, price 281.82,
 type ask, timestamp 1576858208.431783, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858208.431783, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858208.5903513, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858208.5903513, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858210.8648095, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858210.8648095, ticker MSFT, size 200, price 157.02,
 type ask, timestamp 1576858211.0924146, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858211.0924146, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858211.4540455, ticker GE, size 300, price 11.11,
 type bid, timestamp 1576858211.4540455, ticker GE, size 700, price 11.02,
 type ask, timestamp 1576858211.520375, ticker MSFT, size 132, price 157.03,
 type bid, timestamp 1576858211.520375, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858211.5701282, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858211.5701282, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858213.511829, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858213.511829, ticker MSFT, size 200, price 157.01,
 type ask, timestamp 1576858213.513605, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858213.513605, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858213.513893, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858213.513893, ticker MSFT, size 200, price 157.02,
 type ask, timestamp 1576858213.5150595, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858213.5150595, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858215.711717, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.711717, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858215.7120495, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.7120495, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858215.712197, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.712197, ticker MSFT, size 232, price 157.02,
 type ask, timestamp 1576858215.713172, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.713172, ticker MSFT, size 232, price 157.02,
 type ask, timestamp 1576858215.7171037, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.7171037, ticker MSFT, size 232, price 157.02,
 type ask, timestamp 1576858215.7561884, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.7561884, ticker MSFT, size 232, price 157.02,
 type ask, timestamp 1576858215.7621934, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.7621934, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858215.82497, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.82497, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858215.825849, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.825849, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858215.8360326, ticker MSFT, size 100, price 157.04,
 type bid, timestamp 1576858215.8360326, ticker MSFT, size 100, price 157.03,
 type last, timestamp 1576858215.8362923, ticker MSFT, size 100, price 157.04,
 type ask, timestamp 1576858215.8362923, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8362923, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858215.8368793, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8368793, ticker MSFT, size 232, price 157.03,
 type ask, timestamp 1576858215.8383336, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8383336, ticker MSFT, size 332, price 157.03,
 type ask, timestamp 1576858215.8421998, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8421998, ticker MSFT, size 232, price 157.03,
 type ask, timestamp 1576858215.8697808, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8697808, ticker MSFT, size 132, price 157.03,
 type ask, timestamp 1576858215.8868477, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8868477, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858215.8877978, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858215.8877978, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858216.0575955, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.0575955, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858216.1534731, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.1534731, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858216.1643054, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.1643054, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858216.6129377, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.6129377, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858216.6188843, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.6188843, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858216.7672157, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858216.7672157, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858217.1262438, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858217.1262438, ticker MSFT, size 232, price 157.03,
 type ask, timestamp 1576858217.1774986, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858217.1774986, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858217.203438, ticker GE, size 600, price 11.03,
 type bid, timestamp 1576858217.203438, ticker GE, size 700, price 11.02,
 type ask, timestamp 1576858217.3193035, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858217.3193035, ticker MSFT, size 100, price 157.02,
 type ask, timestamp 1576858217.3288724, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858217.3288724, ticker MSFT, size 100, price 157.03,
 type ask, timestamp 1576858217.7552545, ticker MSFT, size 100, price 157.43,
